!CSV A.01.01
!Agilent Technologies,E8361C,US49010277,A.09.20.08
!Agilent E8361C: A.09.20.08
!Date: Thursday, May 03, 2012 14:00:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(REAL),S22(IMAG)
25879250000,-0.44633254,0.26502514
25991725000,-0.44962585,0.26736212
26104200000,-0.44476137,0.26484418
26216675000,-0.44775,0.27010584
26329150000,-0.44834059,0.27369589
26441625000,-0.44159037,0.27196869
26554100000,-0.44308573,0.27689356
26666575000,-0.44087735,0.27681884
26779050000,-0.43567151,0.27404681
26891525000,-0.4377661,0.27828127
27004000000,-0.43496102,0.27696544
27116475000,-0.43161204,0.27429923
27228950000,-0.43427011,0.27667376
27341425000,-0.43219495,0.27508911
27453900000,-0.43211165,0.27562037
27566375000,-0.43400159,0.27927905
27678850000,-0.42852619,0.27815008
27791325000,-0.42933109,0.28018302
27903800000,-0.43042991,0.28280893
28016275000,-0.42318642,0.27988037
28128750000,-0.42548382,0.28284654
28241225000,-0.42711926,0.28382367
28353700000,-0.42029834,0.28037035
28466175000,-0.424382,0.2836597
28578650000,-0.42585623,0.28583366
28691125000,-0.41929835,0.28461203
28803600000,-0.42244995,0.28859982
28916075000,-0.42008686,0.28802177
29028550000,-0.41448927,0.28726292
29141025000,-0.41763303,0.29059455
29253500000,-0.41379204,0.2895129
29365975000,-0.41015267,0.28849506
29478450000,-0.41388613,0.29057628
29590925000,-0.40907499,0.28874925
29703400000,-0.4080762,0.28922278
29815875000,-0.41081601,0.29100379
29928350000,-0.40543792,0.2891311
30040825000,-0.40983233,0.29254916
30153300000,-0.40408364,0.2902244
30265775000,-0.40597358,0.29498184
30378250000,-0.40522355,0.29640087
30490725000,-0.39865324,0.29285669
30603200000,-0.40017712,0.29594499
30715675000,-0.39992842,0.29518339
30828150000,-0.39647517,0.29297632
30940625000,-0.40000483,0.29739308
31053100000,-0.39736265,0.29546621
31165575000,-0.39390188,0.294844
31278050000,-0.39675182,0.29910836
31390525000,-0.39263088,0.29649457
31503000000,-0.39123848,0.29708746
31615475000,-0.39366224,0.2996791
31727950000,-0.38819078,0.29567149
31840425000,-0.38840851,0.29796073
31952900000,-0.39163965,0.30109617
32065375000,-0.38821527,0.29921746
32177850000,-0.38583604,0.30164039
32290325000,-0.3821452,0.30053064
32402800000,-0.38398072,0.30022886
32515275000,-0.38084006,0.30023783
32627750000,-0.3793765,0.30023167
32740225000,-0.38171574,0.30075157
32852700000,-0.37733895,0.30037582
32965175000,-0.37631202,0.30089441
33077650000,-0.3797738,0.30248669
33190125000,-0.37409422,0.29994971
33302600000,-0.37369636,0.30123559
33415075000,-0.37761891,0.30323359
33527550000,-0.37342834,0.2989752
33640025000,-0.37270254,0.30140954
33752500000,-0.3766464,0.30410418
33864975000,-0.37134659,0.29990345
33977450000,-0.37039909,0.30267569
34089925000,-0.37429023,0.30623031
34202400000,-0.36997557,0.3015835
34314875000,-0.36881283,0.30436969
34427350000,-0.37025973,0.30753925
34539825000,-0.36593774,0.30336013
34652300000,-0.36576676,0.30604067
34764775000,-0.36445743,0.30752745
34877250000,-0.36191401,0.30406836
34989725000,-0.36321458,0.30495954
35102200000,-0.36145294,0.30501702
35214675000,-0.35976627,0.30448502
35327150000,-0.36352968,0.30677679
35439625000,-0.35845929,0.30557033
35552100000,-0.35809612,0.30704263
35664575000,-0.3615689,0.30945811
35777050000,-0.35463861,0.3076978
35889525000,-0.35410288,0.31013528
36002000000,-0.35493237,0.30983502
36114475000,-0.352842,0.30860192
36226950000,-0.3482331,0.30788958
36339425000,-0.35372609,0.30789223
36451900000,-0.3514241,0.30691487
36564375000,-0.35029021,0.30808905
36676850000,-0.35453364,0.30823359
36789325000,-0.34941727,0.30856737
36901800000,-0.35008451,0.31046399
37014275000,-0.3523514,0.30997348
37126750000,-0.34517846,0.30981514
37239225000,-0.34697309,0.30992371
37351700000,-0.34988454,0.30834654
37464175000,-0.34334636,0.30854052
37576650000,-0.34837267,0.31047374
37689125000,-0.34960526,0.31036478
37801600000,-0.3437919,0.31058061
37914075000,-0.3459897,0.31306168
38026550000,-0.34661394,0.31379771
38139025000,-0.34063736,0.31237885
38251500000,-0.34180713,0.31415558
38363975000,-0.3420617,0.3158679
38476450000,-0.33921418,0.31303495
38588925000,-0.33830118,0.31460035
38701400000,-0.33825493,0.31797308
38813875000,-0.33863801,0.31380939
38926350000,-0.33831146,0.31486991
39038825000,-0.33577716,0.31788269
